2021-05-29T14:03:24.084+0200	[33mWARN[0m	miner	miner/miner.go:463	completed mineOne	{"tookMilliseconds": 183, "forRound": 799447, "baseEpoch": 799446, "baseDeltaSeconds": 23, "nullRounds": 0, "lateStart": true, "beaconEpoch": 895291, "lookbackEpochs": 900, "networkPowerAtLookback": "6671946445028950016", "minerPowerAtLookback": "278774075326464", "isEligible": true, "isWinner": false, "error": null}
2021-05-29T14:03:36.071+0200	[34mINFO[0m	miner	miner/miner.go:465	completed mineOne	{"tookMilliseconds": 5, "forRound": 799448, "baseEpoch": 799447, "baseDeltaSeconds": 6, "nullRounds": 0, "lateStart": false, "beaconEpoch": 895292, "lookbackEpochs": 900, "networkPowerAtLookback": "6671946445028950016", "minerPowerAtLookback": "278774075326464", "isEligible": true, "isWinner": false, "error": null}
2021-05-29T14:04:06.298+0200	[34mINFO[0m	miner	miner/miner.go:465	completed mineOne	{"tookMilliseconds": 30, "forRound": 799449, "baseEpoch": 799448, "baseDeltaSeconds": 6, "nullRounds": 0, "lateStart": false, "beaconEpoch": 895293, "lookbackEpochs": 900, "networkPowerAtLookback": "6671867417630703616", "minerPowerAtLookback": "278774075326464", "isEligible": true, "isWinner": false, "error": null}
2021-05-29T14:04:36.057+0200	[34mINFO[0m	miner	miner/miner.go:465	completed mineOne	{"tookMilliseconds": 5, "forRound": 799450, "baseEpoch": 799449, "baseDeltaSeconds": 6, "nullRounds": 0, "lateStart": false, "beaconEpoch": 895294, "lookbackEpochs": 900, "networkPowerAtLookback": "6671786706605277184", "minerPowerAtLookback": "278774075326464", "isEligible": true, "isWinner": false, "error": null}
2021-05-29T14:05:06.267+0200	[34mINFO[0m	miner	miner/miner.go:465	completed mineOne	{"tookMilliseconds": 222, "forRound": 799451, "baseEpoch": 799450, "baseDeltaSeconds": 6, "nullRounds": 0, "lateStart": false, "beaconEpoch": 895295, "lookbackEpochs": 900, "networkPowerAtLookback": "6671786706605277184", "minerPowerAtLookback": "278774075326464", "isEligible": true, "isWinner": false, "error": null}
2021-05-29T14:05:36.187+0200	[34mINFO[0m	miner	miner/miner.go:465	completed mineOne	{"tookMilliseconds": 5, "forRound": 799452, "baseEpoch": 799451, "baseDeltaSeconds": 6, "nullRounds": 0, "lateStart": false, "beaconEpoch": 895296, "lookbackEpochs": 900, "networkPowerAtLookback": "6671788493311672320", "minerPowerAtLookback": "278774075326464", "isEligible": true, "isWinner": false, "error": null}
2021-05-29T14:06:06.374+0200	[34mINFO[0m	miner	miner/miner.go:465	completed mineOne	{"tookMilliseconds": 33, "forRound": 799453, "baseEpoch": 799452, "baseDeltaSeconds": 6, "nullRounds": 0, "lateStart": false, "beaconEpoch": 895297, "lookbackEpochs": 900, "networkPowerAtLookback": "6671789111786962944", "minerPowerAtLookback": "278774075326464", "isEligible": true, "isWinner": false, "error": null}
2021-05-29T14:06:36.045+0200	[34mINFO[0m	miner	miner/miner.go:465	completed mineOne	{"tookMilliseconds": 6, "forRound": 799454, "baseEpoch": 799453, "baseDeltaSeconds": 6, "nullRounds": 0, "lateStart": false, "beaconEpoch": 895298, "lookbackEpochs": 900, "networkPowerAtLookback": "6671789111786962944", "minerPowerAtLookback": "278774075326464", "isEligible": true, "isWinner": false, "error": null}
2021-05-29T14:07:06.126+0200	[34mINFO[0m	miner	miner/miner.go:465	completed mineOne	{"tookMilliseconds": 48, "forRound": 799455, "baseEpoch": 799454, "baseDeltaSeconds": 6, "nullRounds": 0, "lateStart": false, "beaconEpoch": 895299, "lookbackEpochs": 900, "networkPowerAtLookback": "6671789111786962944", "minerPowerAtLookback": "278774075326464", "isEligible": true, "isWinner": false, "error": null}
2021-05-29T14:07:36.179+0200	[34mINFO[0m	miner	miner/miner.go:465	completed mineOne	{"tookMilliseconds": 5, "forRound": 799456, "baseEpoch": 799455, "baseDeltaSeconds": 6, "nullRounds": 0, "lateStart": false, "beaconEpoch": 895300, "lookbackEpochs": 900, "networkPowerAtLookback": "6671708641279705088", "minerPowerAtLookback": "278774075326464", "isEligible": true, "isWinner": false, "error": null}
2021-05-29T14:08:06.085+0200	[34mINFO[0m	miner	miner/miner.go:465	completed mineOne	{"tookMilliseconds": 39, "forRound": 799457, "baseEpoch": 799456, "baseDeltaSeconds": 6, "nullRounds": 0, "lateStart": false, "beaconEpoch": 895301, "lookbackEpochs": 900, "networkPowerAtLookback": "6671756298236821504", "minerPowerAtLookback": "278774075326464", "isEligible": true, "isWinner": false, "error": null}
